date,open,high,low,close,volume,price_change,p_change,ma5,v_ma5
2017-03-14,20.52,21.2,20.52,20.89,41866.68,0.11,0.53,20.962,42919.46
2017-03-13,20.92,20.99,20.0,20.78,75689.44,-0.33,-1.56,21.066,45758.7
2017-03-10,20.96,21.29,20.89,21.11,32501.76,0.18,0.86,21.306,38364.5
2017-03-09,21.17,21.19,20.84,20.93,24272.15,-0.17,-0.81,21.472,40253.54
2017-03-08,21.3,21.38,21.02,21.1,40267.26,-0.31,-1.45,21.644,42181.14
2017-03-07,21.88,21.94,21.3,21.41,56062.87,-0.57,-2.59,21.84,51369.2
2017-03-06,22.13,22.2,21.75,21.98,38718.44,0.04,0.18,21.884,45357.01
2017-03-03,21.79,22.44,21.68,21.94,41946.99,0.15,0.69,21.794,46198.44
2017-03-02,22.0,22.08,21.71,21.79,33910.13,-0.29,-1.31,21.792,53631.36
2017-03-01,21.61,22.48,21.61,22.08,86207.58,0.45,2.08,21.878,80610.11
2017-02-28,21.52,21.87,21.52,21.63,26001.91,0.1,0.46,21.638,76783.04
2017-02-27,21.82,21.93,21.5,21.53,42925.61,-0.4,-1.82,21.578,82005.04
2017-02-24,22.08,22.18,21.61,21.93,79111.58,-0.29,-1.3,21.59,81236.19
2017-02-23,20.99,22.82,20.89,22.22,168803.86,1.34,6.42,21.522,81515.44
2017-02-22,21.35,21.39,20.73,20.88,67072.25,-0.45,-2.11,21.548,69900.6
2017-02-21,21.7,21.7,21.22,21.33,52111.92,-0.26,-1.2,21.728,83164.76
2017-02-20,21.46,21.8,21.3,21.59,39081.32,0.0,0.0,21.708,89308.67
2017-02-17,22.17,22.26,21.42,21.59,80507.85,-0.76,-3.4,21.548,93006.49
2017-02-16,21.57,22.38,21.5,22.35,110729.67,0.57,2.62,21.32,84583.65
2017-02-15,21.5,22.29,21.3,21.78,133393.03,0.55,2.59,20.984,70765.74
2017-02-14,20.75,21.49,20.7,21.23,82831.5,0.44,2.12,20.758,57623.98
2017-02-13,20.38,20.98,20.27,20.79,57570.38,0.34,1.66,20.69,63978.98
2017-02-10,20.72,20.81,20.42,20.45,38393.69,-0.22,-1.06,20.622,73191.03
2017-02-09,20.52,20.82,20.42,20.67,41640.09,0.02,0.1,20.366,67167.29
2017-02-08,20.55,21.1,20.3,20.65,67684.26,-0.24,-1.15,20.07,61156.68
2017-02-07,19.97,21.2,19.68,20.89,114606.5,0.44,2.15,19.772,49724.52
2017-02-06,19.35,21.09,19.35,20.45,103630.6,1.28,6.68,19.416,29212.84
2017-02-03,19.13,19.28,18.81,19.17,8275.0,-0.02,-0.1,19.156,10804.74
2017-01-26,19.3,19.37,19.09,19.19,11587.02,0.03,0.16,19.146,13319.0
2017-01-25,19.15,19.24,19.07,19.16,10523.48,0.05,0.26,19.034,15351.01
2017-01-24,19.29,19.44,19.01,19.11,12048.09,-0.04,-0.21,18.932,16887.18
2017-01-23,19.11,19.36,19.06,19.15,11590.1,0.03,0.16,18.84,19101.27
2017-01-20,18.63,19.2,18.56,19.12,20846.31,0.49,2.63,18.704,27456.28
2017-01-19,18.67,18.88,18.48,18.63,21747.06,-0.02,-0.11,18.872,29019.59
2017-01-18,18.65,18.99,18.48,18.65,18204.36,0.0,0.0,19.226,35782.54
2017-01-17,18.51,18.88,18.0,18.65,23118.5,0.18,0.97,19.506,39341.01
2017-01-16,19.95,19.95,17.96,18.47,53365.19,-1.49,-7.46,19.816,41341.43
2017-01-13,20.26,20.49,19.82,19.96,28662.83,-0.44,-2.16,20.202,41610.25
2017-01-12,20.05,20.83,20.05,20.4,55561.81,0.35,1.75,20.248,51348.33
2017-01-11,20.31,20.34,20.02,20.05,35996.74,-0.15,-0.74,20.18,55465.94
2017-01-10,20.22,20.45,20.06,20.2,33120.56,-0.2,-0.98,20.124,56509.8
2017-01-09,20.38,20.56,19.75,20.4,54709.33,0.21,1.04,19.98,55945.29
2017-01-06,20.0,20.5,19.97,20.19,77353.22,0.13,0.65,19.77,56334.87
2017-01-05,19.78,20.4,19.47,20.06,76149.86,0.29,1.47,19.7,55831.08
2017-01-04,19.44,19.96,19.39,19.77,41216.04,0.29,1.49,19.57,47923.03
2017-01-03,19.4,19.68,19.3,19.48,30298.01,0.13,0.67,19.518,51239.2
2016-12-30,19.6,19.99,19.31,19.35,56657.23,-0.49,-2.47,19.6,55796.32
2016-12-29,19.38,20.43,19.15,19.84,74834.28,0.43,2.21,19.698,62017.34
2016-12-28,19.59,19.73,19.37,19.41,36609.58,-0.1,-0.51,19.814,77144.65
2016-12-27,19.68,19.87,19.46,19.51,57796.91,-0.38,-1.91,19.644,77501.98
2016-12-26,19.81,19.9,19.0,19.89,53083.59,0.05,0.25,19.418,71659.2
2016-12-23,20.46,20.48,19.7,19.84,87762.36,-0.58,-2.84,19.146,67217.95
2016-12-22,18.5,20.42,18.45,20.42,150470.83,1.86,10.02,18.874,59074.51
2016-12-21,18.49,18.62,18.2,18.56,38396.23,0.18,0.98,18.486,41018.68
2016-12-20,18.45,18.48,18.2,18.38,28583.0,-0.15,-0.81,18.382,49722.8
2016-12-19,18.5,18.68,18.35,18.53,30877.32,0.05,0.27,18.394,70323.3
2016-12-16,18.53,18.85,18.45,18.48,47045.17,0.0,0.0,18.492,81815.08
2016-12-15,17.98,18.86,17.88,18.48,60191.69,0.44,2.44,18.676,96447.11
2016-12-14,18.11,18.5,17.55,18.04,81916.83,-0.4,-2.17,19.162,92427.81
2016-12-13,19.04,19.15,17.18,18.44,131585.48,-0.58,-3.05,19.814,81226.42
2016-12-12,19.48,19.92,18.98,19.02,88336.21,-0.38,-1.96,20.322,63233.47
2016-12-09,20.91,20.99,19.37,19.4,120205.35,-1.51,-7.22,20.758,53371.87
2016-12-08,21.3,21.39,20.85,20.91,40095.18,-0.39,-1.83,21.092,41816.15
2016-12-07,21.14,21.32,20.82,21.3,25909.87,0.32,1.52,21.206,45146.22
2016-12-06,21.18,21.38,20.85,20.98,41620.73,-0.22,-1.04,21.242,63450.56
2016-12-05,20.85,21.38,20.82,21.2,39028.21,0.14,0.67,21.62,93177.02
2016-12-02,21.58,21.59,20.75,21.07,62426.78,-0.38,-1.77,22.46,105121.04
2016-12-01,21.5,21.7,21.17,21.48,56745.53,0.01,0.05,23.176,101600.78
2016-11-30,22.21,22.37,21.14,21.48,117431.54,-1.39,-6.08,23.752,106904.67
2016-11-29,25.0,25.1,22.87,22.87,190253.05,-2.54,-10.0,24.478,104935.77
2016-11-16,24.5,25.52,24.5,25.4,98748.28,0.76,3.08,24.896,89431.47
2016-11-15,24.36,24.98,24.15,24.65,44825.48,0.32,1.31,24.704,94012.78
2016-11-14,25.22,25.23,24.15,24.36,83265.02,-0.75,-2.99,24.666,106217.88
